year,tmp,month,tmpLoess,deconID
1915,1.7,2,3.453644052659932,385
1916,3.9,2,3.46169814032881,386
1917,0,2,3.4679517287754322,387
1918,4,2,3.4731223655351995,388
1919,3,2,3.477804684492226,389
1920,6.1,2,3.4822379823831575,390
1921,5.6,2,3.486856792566939,391
1922,3.5,2,3.491785411779744,392
1923,4.9,2,3.4967547904934433,393
1924,2.2,2,3.5012698611919557,394
1925,1.3,2,3.5048421119758952,395
1926,4,2,3.507043849067207,396
1927,5.9,2,3.5077386791577148,397
1928,2.9,2,3.506825901269135,398
1929,2.6,2,3.5043473285694446,399
1930,4.2,2,3.5006231125525886,400
1931,0.2,2,3.49558360461047,401
1932,0.8,2,3.489195819423653,402
1933,5.1,2,3.4816877705133145,403
1934,4.1,2,3.4737297981736166,404
1935,2.7,2,3.4657002277001148,405
1936,5,2,3.4579380294441293,406
1937,2.9,2,3.45054945006315,407
1938,7,2,3.44350203486803,408
1939,1.7,2,3.436756554936968,409
1940,2.8,2,3.430236907122472,410
1941,3.3,2,3.4238154069068494,411
1942,1.4,2,3.4170081594597126,412
1943,5.6,2,3.4092796959673533,413
1944,0.9,2,3.4004486671358314,414
1945,6,2,3.3909763935437427,415
1946,3.7,2,3.381554811357211,416
1947,2.6,2,3.3730370316681437,417
1948,5.7,2,3.365782601527174,418
1949,2,2,3.359687131243419,419
1950,4.8,2,3.3546133767879383,420
1951,2.2,2,3.3506507656034827,421
1952,2.6,2,3.347957389191425,422
1953,4.8,2,3.3467118696182787,423
1954,4.3,2,3.3474786030000256,424
1955,0.4,2,3.35061314384655,425
1956,2.9,2,3.355987554353689,426
1957,6.4,2,3.3631671097015694,427
1958,-0.3,2,3.371836955442879,428
1959,6.2,2,3.3815947498045658,429
1960,4.3,2,3.3919218978818897,430
1961,6,2,3.4025648201658925,431
1962,0.2,2,3.4135221562689804,432
1963,2.5,2,3.42478850370383,433
1964,0.6,2,3.436678487940874,434
1965,2.3,2,3.4495419584976226,435
1966,3.3,2,3.463526476226974,436
1967,5.4,2,3.4789629507386692,437
1968,4.4,2,3.4959029524033767,438
1969,0.9,2,3.5143496014735334,439
1970,1.2,2,3.5344203117351825,440
1971,1,2,3.556378402126647,441
1972,5.3,2,3.580634343919428,442
1973,3.9,2,3.6074403365843324,443
1974,5.7,2,3.6369877668211643,444
1975,3.6,2,3.669190411870119,445
1976,1.3,2,3.703996455487996,446
1977,6.1,2,3.7412185555999287,447
1978,4.8,2,3.7803729142738973,448
1979,3.7,2,3.820905995096993,449
1980,3.3,2,3.862374956949921,450
1981,6.8,2,3.90449038537308,451
1982,4.2,2,3.94682765249577,452
1983,4.6,2,3.9887658948796485,453
1984,2,2,4.029996983090754,454
1985,2.8,2,4.07058621724444,455
1986,3,2,4.110199994792609,456
1987,-0.4,2,4.1485631800597815,457
1988,2.7,2,4.185588252868868,458
1989,7,2,4.211495220302808,459
1990,6.9,2,4.239244488329426,460
1991,6.4,2,4.269094887862494,461
1992,4.8,2,4.300670024962471,462
1993,3.6,2,4.333498557315352,463
1994,6.3,2,4.367194701125456,464
1995,3.1,2,4.401478046003035,465
1996,1,2,4.436128500365996,466
1997,5.8,2,4.47100200532784,467
1998,5,2,4.506017178286477,468
1999,5.4,2,4.541101988810389,469
2000,5.2,2,4.576189624884776,470
2001,4.2,2,4.611216905663639,471
2002,5.4,2,4.646127747055431,472
2003,5.3,2,4.680879134354491,473
2004,4.1,2,4.715430657947479,474
2005,3.6,2,4.749745435562794,475
2006,1.5,2,4.7838019746702685,476
2007,6.2,2,4.817602378424546,477
2008,4.2,2,4.851173762304114,478
2009,4.3,2,4.884538421111358,479
